id,check,adm.level,Bundesland,Landkreis,intervention,start,end,comment,reference,reference2
"1,CORRECT,1,,,speech,2020-03-13,,""Merkel,Steinmeier"",https://www.rnd.de/politik/steinmeier-zu-corona-epidemie-dauer-der-krise-noch-nicht-absehbar-PUQP6YC7SGPT2LHBU6TGUH5NIQ.html,https://www.nytimes.com/2020/03/11/world/europe/coronavirus-merkel-germany.html"
2,CORRECT,1,,,speech,2020-03-19,,Merkel,https://www.bundeskanzlerin.de/bkin-de/aktuelles/fernsehansprache-von-bundeskanzlerin-angela-merkel-1732134,
3,NEW,1,,,narrow testing,2020-03-25,,,https://www.ptaheute.de/index.php?id=5599,
4,NEW,1,,,symptomatic testing,2020-04-24,,,https://www.tagesschau.de/inland/rki-coronavirus-109.html,
5,CORRECT,1,,,full testing,2020-06-17,,,https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/Teststrategie/Nat-Teststrat.html,
6,CORRECT,1,,,speech open,2020-04-17,,Spahn,https://www.bz-berlin.de/deutschland/spahn-corona-ausbruch-ist-beherrschbar-geworden,
7,CORRECT,1,,,masks recommended,2020-04-15,,,https://www.spiegel.de/politik/deutschland/coronavirus-bund-und-laender-empfehlen-dringend-schutzmasken-in-geschaeften-a-d74e7df2-c79b-4699-9f99-e3615598137f,
9,CORRECT,1,,,events recommended,2020-02-28,,rki,https://www.bmi.bund.de/SharedDocs/kurzmeldungen/DE/2020/02/handlungsempfehlungen-corona-rki.html,
10,CORRECT,1,,,events recommended,2020-03-12,,1000,https://www.bundesregierung.de/breg-de/themen/coronavirus/beschluss-zu-corona-1730292,
14,NEW,2,Baden-Württemberg,,holidays,2020-04-06,2020-04-20,,https://www.t-online.de/leben/reisen/reisetipps/id_86983396/schulferien-2020-in-deutschland-das-ist-der-ferienkalender-aller-bundeslaender-.html,
15,NEW,2,Bayern,,holidays,2020-04-06,2020-04-20,,https://www.t-online.de/leben/reisen/reisetipps/id_86983396/schulferien-2020-in-deutschland-das-ist-der-ferienkalender-aller-bundeslaender-.html,
16,NEW,2,Berlin,,holidays,2020-04-06,2020-04-20,,https://www.t-online.de/leben/reisen/reisetipps/id_86983396/schulferien-2020-in-deutschland-das-ist-der-ferienkalender-aller-bundeslaender-.html,
17,NEW,2,Brandenburg,,holidays,2020-04-06,2020-04-20,,https://www.t-online.de/leben/reisen/reisetipps/id_86983396/schulferien-2020-in-deutschland-das-ist-der-ferienkalender-aller-bundeslaender-.html,
18,NEW,2,Bremen,,holidays,2020-03-30,2020-04-15,,https://www.t-online.de/leben/reisen/reisetipps/id_86983396/schulferien-2020-in-deutschland-das-ist-der-ferienkalender-aller-bundeslaender-.html,
19,NEW,2,Hamburg,,holidays,2020-03-02,2020-03-16,,https://www.t-online.de/leben/reisen/reisetipps/id_86983396/schulferien-2020-in-deutschland-das-ist-der-ferienkalender-aller-bundeslaender-.html,
20,NEW,2,Hessen,,holidays,2020-04-06,2020-04-20,,https://www.t-online.de/leben/reisen/reisetipps/id_86983396/schulferien-2020-in-deutschland-das-ist-der-ferienkalender-aller-bundeslaender-.html,
21,NEW,2,Mecklenburg-Vorpommern,,holidays,2020-04-06,2020-04-16,,https://www.t-online.de/leben/reisen/reisetipps/id_86983396/schulferien-2020-in-deutschland-das-ist-der-ferienkalender-aller-bundeslaender-.html,
22,NEW,2,Niedersachsen,,holidays,2020-03-30,2020-04-15,,https://www.t-online.de/leben/reisen/reisetipps/id_86983396/schulferien-2020-in-deutschland-das-ist-der-ferienkalender-aller-bundeslaender-.html,
23,NEW,2,Nordrhein-Westfalen,,holidays,2020-04-06,2020-04-20,,https://www.t-online.de/leben/reisen/reisetipps/id_86983396/schulferien-2020-in-deutschland-das-ist-der-ferienkalender-aller-bundeslaender-.html,
24,NEW,2,Rheinland-Pfalz,,holidays,2020-04-09,2020-04-20,,https://www.t-online.de/leben/reisen/reisetipps/id_86983396/schulferien-2020-in-deutschland-das-ist-der-ferienkalender-aller-bundeslaender-.html,
25,NEW,2,Saarland,,holidays,2020-04-14,2020-04-27,,https://www.t-online.de/leben/reisen/reisetipps/id_86983396/schulferien-2020-in-deutschland-das-ist-der-ferienkalender-aller-bundeslaender-.html,
